frame,x,y,id
1788,647.67,1443.16,50
1788,927.74,1517.55,21
1788,1427.58,1585.72,27
1788,819.2,1583.98,51
1788,1723.01,1632.67,23
1788,755.3,1729.29,47
1788,996.94,1732.17,39
1788,1016.44,1751.75,29
1788,760.52,2007.87,46
1789,1204.89,397.1,2
1789,1308.34,408.65,34
1789,748.79,501.72,52
1789,768.01,519.53,53
1789,1087.09,624.31,33
1789,1449.03,712.66,41
1789,718.95,740.23,3
1789,1128.83,811.82,7
1789,1529.9,818.75,54
1789,1406.1,840.59,5
1789,1026.15,849.6,8
1789,319.32,893.31,31
1789,1249.17,899.74,42
1789,999.92,960.96,12
1789,666.15,996.07,35
1789,1431.51,1016.62,48
1789,795.9,1015.42,10
1789,520.12,1105.67,19
1789,1392.95,1150.8,13
1789,1320.7,1190.8,15
1789,851.39,1193.5,38
1789,385.34,1299.3,45
1789,1290.8,1300.87,16
1789,811.28,1378.17,25
1789,647.05,1443.46,50
1789,926.29,1518.27,21
1789,817.98,1583.99,51
1789,1427.45,1585.46,27
1789,1722.42,1632.63,23
1789,754.81,1729.44,47
1789,996.74,1731.89,39
1789,1016.0,1751.65,29
1789,762.18,2008.01,46
1790,1205.13,397.03,2
1790,1308.63,409.4,34
1790,748.26,502.54,52
1790,767.95,519.17,53
1790,1087.1,624.58,33
1790,1448.95,712.6,41
1790,719.36,740.39,3
1790,1128.01,811.69,7
1790,1529.68,818.37,54
1790,1406.27,840.35,5
1790,1025.99,849.78,8
1790,319.2,893.12,31
1790,1250.09,899.34,42
1790,1000.29,961.1,12
1790,666.48,996.27,35
1790,1430.84,1017.35,48
1790,795.69,1015.25,10
1790,520.18,1105.88,19
1790,1392.68,1150.69,13
1790,1320.06,1190.25,15
1790,851.39,1194.19,38
1790,385.49,1299.3,45
1790,1290.89,1300.49,16
1790,811.44,1378.02,25
1790,646.82,1443.39,50
1790,924.8,1518.58,21
1790,1427.64,1585.41,27
1790,817.36,1583.92,51
1790,1722.72,1632.61,23
1790,755.38,1729.24,47
1790,996.44,1731.85,39
1790,1016.12,1751.63,29
1790,762.02,2007.99,46
1791,1205.25,396.84,2
1791,1308.8,409.3,34
1791,748.15,502.62,52
1791,767.76,519.55,53
1791,1087.37,623.33,33
1791,1449.02,712.49,41
1791,719.44,740.59,3
1791,1128.57,811.84,7
